session_idx,session_type,condition,overflowed,overflow_turn,turns_completed,final_tokens,n_turns
43,mixed,A,False,-1,40,63193,40
43,mixed,B,False,-1,40,34728,40
43,mixed,C,False,-1,40,34728,40
44,mixed,A,False,-1,40,67375,40
44,mixed,B,False,-1,40,34742,40
44,mixed,C,False,-1,40,34742,40
45,adversarial,A,False,-1,35,112138,35
45,adversarial,B,False,-1,35,30335,35
45,adversarial,C,False,-1,35,30335,35
46,adversarial,A,False,-1,35,106396,35
46,adversarial,B,False,-1,35,30400,35
46,adversarial,C,False,-1,35,30400,35
47,adversarial,A,False,-1,35,106492,35
47,adversarial,B,False,-1,35,30352,35
47,adversarial,C,False,-1,35,30352,35
48,adversarial,A,False,-1,35,110972,35
48,adversarial,B,False,-1,35,30476,35
48,adversarial,C,False,-1,35,30476,35
49,adversarial,A,False,-1,35,104411,35
49,adversarial,B,False,-1,35,30447,35
49,adversarial,C,False,-1,35,30447,35
50,adversarial,A,False,-1,35,111073,35
50,adversarial,B,False,-1,35,30389,35
50,adversarial,C,False,-1,35,30389,35
51,adversarial,A,False,-1,35,110247,35
51,adversarial,B,False,-1,35,30469,35
51,adversarial,C,False,-1,35,30469,35
52,adversarial,A,False,-1,35,104808,35
52,adversarial,B,False,-1,35,30448,35
52,adversarial,C,False,-1,35,30448,35
53,adversarial,A,False,-1,35,113432,35
53,adversarial,B,False,-1,35,30484,35
53,adversarial,C,False,-1,35,30484,35
54,adversarial,A,False,-1,35,109445,35
54,adversarial,B,False,-1,35,30343,35
54,adversarial,C,False,-1,35,30343,35
55,adversarial,A,False,-1,35,111946,35
55,adversarial,B,False,-1,35,30389,35
55,adversarial,C,False,-1,35,30389,35
56,adversarial,A,False,-1,35,111604,35
56,adversarial,B,False,-1,35,30327,35
56,adversarial,C,False,-1,35,30327,35
57,adversarial,A,False,-1,35,105320,35
57,adversarial,B,False,-1,35,30457,35
57,adversarial,C,False,-1,35,30457,35
58,adversarial,A,False,-1,35,101687,35
58,adversarial,B,False,-1,35,30426,35
58,adversarial,C,False,-1,35,30426,35
59,adversarial,A,False,-1,35,103949,35
59,adversarial,B,False,-1,35,30454,35
59,adversarial,C,False,-1,35,30454,35
